tile_id,sensor,cloudCover,dayOrNight,year,month,day,image_quality
042026,TM,88,day,1983,11,18,0.12
042027,TM,56,day,1983,11,18,0.43999999999999995
042028,TM,94,day,1983,11,18,0.06000000000000005
042029,TM,63,day,1983,11,18,0.37
042030,TM,37,day,1983,11,18,0.63
042031,TM,40,day,1983,11,18,0.6
042032,TM,75,day,1983,11,18,0.25
042033,TM,40,day,1983,11,18,0.6
042034,TM,20,day,1983,11,18,0.8
042035,TM,17,day,1983,11,18,0.83
042036,TM,35,day,1983,11,18,0.65
028028,TM,76,day,1983,11,16,0.24
028032,TM,72,day,1983,11,16,0.28
028035,TM,0,day,1983,11,16,1
044028,TM,74,day,1983,11,16,0.26
044029,TM,46,day,1983,11,16,0.54
044030,TM,68,day,1983,11,16,0.31999999999999995
044031,TM,100,day,1983,11,16,0
044032,TM,100,day,1983,11,16,0
044035,TM,82,day,1983,11,16,0.18000000000000005
028028,TM,8,day,1983,8,12,0.92
028029,TM,10,day,1983,8,12,0.9
028030,TM,31,day,1983,8,12,0.69
028031,TM,26,day,1983,8,12,0.74
028032,TM,1,day,1983,8,12,0.99
028033,TM,0,day,1983,8,12,1
028034,TM,0,day,1983,8,12,1
028035,TM,0,day,1983,8,12,1
028036,TM,3,day,1983,8,12,0.97
028037,TM,2,day,1983,8,12,0.98
028038,TM,18,day,1983,8,12,0.8200000000000001
044027,TM,2,day,1983,8,12,0.98
044028,TM,0,day,1983,8,12,1
044029,TM,0,day,1983,8,12,1
044030,TM,0,day,1983,8,12,1
044031,TM,0,day,1983,8,12,1
044032,TM,0,day,1983,8,12,1
044033,TM,0,day,1983,8,12,1
044034,TM,5,day,1983,8,12,0.95
044035,TM,10,day,1983,8,12,0.9
044036,TM,0,day,1983,8,12,1
044037,TM,0,day,1983,8,12,1
229072,TM,0,day,1983,8,12,1
229073,TM,3,day,1983,8,12,0.97
229074,TM,14,day,1983,8,12,0.86
229075,TM,71,day,1983,8,12,0.29000000000000004
229076,TM,100,day,1983,8,12,0
229077,TM,100,day,1983,8,12,0
229078,TM,100,day,1983,8,12,0
