tile_id,year,dayOrNight,total_quality,max_quality,image_count,month_count,distribution_quality,distribution_balance
002025,1983,day,0.55,0.55,1,1,0.04583333333333334,-1
002026,1983,day,1.98,0.99,2,1,0.0825,-1
002027,1983,day,1.96,0.98,2,1,0.08166666666666667,-1
002028,1983,day,1.96,0.98,2,1,0.08166666666666667,-1
003025,1983,day,0.24,0.12,2,1,0.01,-1
003026,1983,day,0.7466666666666667,0.37333333333333335,2,1,0.031111111111111114,-1
003027,1983,day,1.0733333333333333,0.5366666666666666,2,1,0.04472222222222222,-1
005023,1983,day,0.7233333333333333,0.7233333333333333,1,1,0.06027777777777777,-1
005024,1983,day,0.6699999999999999,0.6699999999999999,1,1,0.055833333333333325,-1
005025,1983,day,0.4511111111111112,0.2255555555555556,2,1,0.0187962962962963,-1
005026,1983,day,0.10000000000000007,0.05000000000000004,2,1,0.00416666666666667,-1
005027,1983,day,0.46666666666666673,0.23333333333333336,2,1,0.019444444444444448,-1
005028,1983,day,0.94,0.47,2,1,0.03916666666666666,-1
006022,1983,day,0.84,0.84,1,1,0.06999999999999999,-1
006023,1983,day,0.72,0.72,1,1,0.06,-1
006024,1983,day,0.98,0.98,1,1,0.08166666666666667,-1
006025,1983,day,0.31000000000000005,0.31000000000000005,1,1,0.025833333333333337,-1
006026,1983,day,0.22,0.11,2,1,0.009166666666666667,-1
007025,1983,day,0.02,0.01,2,1,8.333333333333334e-4,-1
007026,1983,day,0.06000000000000004,0.03000000000000002,2,1,0.002500000000000002,-1
007027,1983,day,0.72,0.36,2,1,0.03,-1
007028,1983,day,0.1200000000000001,0.06000000000000005,2,1,0.0050000000000000044,-1
007029,1983,day,0.6200000000000001,0.31000000000000005,2,1,0.025833333333333337,-1
008021,1983,day,1.028888888888889,0.92,2,1,0.07666666666666667,-1
008022,1983,day,1.6444444444444444,0.96,2,1,0.08,-1
008023,1983,day,1.6744444444444444,0.99,2,1,0.0825,-1
008024,1983,day,2.75,0.99,3,1,0.0825,-1
008025,1983,day,2.27,0.77,3,1,0.06416666666666666,-1
008026,1983,day,2.6844444444444444,0.79,4,1,0.06583333333333334,-1
008027,1983,day,0.01555555555555556,0.00777777777777778,2,1,6.481481481481483e-4,-1
008028,1983,day,0.8799999999999999,0.43999999999999995,2,1,0.03666666666666666,-1
008029,1983,day,1.5,0.75,2,1,0.0625,-1
008030,1983,day,1.46,0.73,2,1,0.06083333333333333,-1
009021,1983,day,0.97,0.97,1,1,0.08083333333333333,-1
009022,1983,day,1,1,1,1,0.08333333333333333,-1
009023,1983,day,1.98,0.99,2,1,0.0825,-1
009024,1983,day,1.96,0.98,2,1,0.08166666666666667,-1
009025,1983,day,1.92,0.96,2,1,0.08,-1
009026,1983,day,1.62,0.81,2,1,0.0675,-1
009027,1983,day,1.88,0.94,2,1,0.07833333333333332,-1
009028,1983,day,2,1,2,1,0.08333333333333333,-1
009029,1983,day,1.5,0.75,2,1,0.0625,-1
009030,1983,day,0.15999999999999992,0.07999999999999996,2,1,0.006666666666666664,-1
010019,1983,day,0.06999999999999995,0.06999999999999995,1,1,0.005833333333333329,-1
011019,1983,day,1.24,0.96,3,2,0.09166666666666667,-1
011020,1983,day,1.58,0.94,2,1,0.07833333333333332,-1
011021,1983,day,1.91,0.96,2,1,0.08,-1
011022,1983,day,0.95,0.95,1,1,0.07916666666666666,-1
011023,1983,day,2.68,0.92,3,1,0.07666666666666667,-1
011024,1983,day,1.72,0.96,3,1,0.08,-1
011025,1983,day,1.97,0.99,3,1,0.0825,-1
011026,1983,day,1.68,0.6799999999999999,4,1,0.056666666666666664,-1
011027,1983,day,2.84,0.94,6,2,0.11083333333333334,-1
011028,1983,day,3.9,0.99,6,2,0.16,-1
011029,1983,day,3.96,0.98,6,2,0.1625,-1
011030,1983,day,3.98,1,4,2,0.16583333333333333,-1
011031,1983,day,3.32,0.95,4,2,0.13833333333333334,-1
012019,1983,day,0.99,0.75,2,2,0.0825,-1
012020,1983,day,0.99,0.99,1,1,0.0825,-1
012021,1983,day,1.45,1,2,2,0.12083333333333333,-1
012022,1983,day,2.1,0.98,3,2,0.12833333333333333,-1
012023,1983,day,2.55,0.89,3,2,0.14333333333333334,-1
012024,1983,day,2.36,0.88,3,2,0.12333333333333334,-1
012025,1983,day,1.68,0.84,2,1,0.06999999999999999,-1
012026,1983,day,0.5800000000000001,0.29000000000000004,2,1,0.02416666666666667,-1
012027,1983,day,0.24,0.12,2,1,0.01,-1
012028,1983,day,0.08000000000000006,0.04000000000000003,2,1,0.0033333333333333357,-1
012029,1983,day,0.6599999999999999,0.23,4,2,0.027499999999999997,-1
012030,1983,day,3.22,0.81,4,2,0.13416666666666668,-1
012031,1983,day,1.56,0.78,2,1,0.065,-1
012032,1983,day,0.060000000000000026,0.02000000000000001,4,2,0.002500000000000001,-1
012042,1983,day,2.26,1,4,2,0.09416666666666666,-1
012043,1983,day,0.19999999999999996,0.09999999999999998,2,1,0.008333333333333331,-1
013018,1983,day,0.61,0.61,1,1,0.050833333333333335,-1
013020,1983,day,1.96,0.99,2,1,0.0825,-1
013021,1983,day,1.98,1,2,1,0.08333333333333333,-1
013022,1983,day,1.19,0.99,2,1,0.0825,-1
013023,1983,day,1.13,0.78,2,1,0.065,-1
013024,1983,day,0.8600000000000002,0.4300000000000001,2,1,0.03583333333333334,-1
013025,1983,day,1.26,0.63,2,1,0.0525,-1
013026,1983,day,1.22,0.61,2,1,0.050833333333333335,-1
013029,1983,day,0.46,0.23,2,1,0.01916666666666667,-1
013030,1983,day,0.6800000000000002,0.17000000000000004,4,2,0.02833333333333334,-1
013031,1983,day,0.6200000000000001,0.31000000000000005,2,1,0.025833333333333337,-1
013032,1983,day,0.6000000000000001,0.30000000000000004,2,1,0.025000000000000005,-1
013033,1983,day,1.92,0.96,2,1,0.08,-1
013034,1983,day,2,1,2,1,0.08333333333333333,-1
013035,1983,day,1.98,0.99,2,1,0.0825,-1
013036,1983,day,1.98,0.99,2,1,0.0825,-1
014018,1983,day,0.47,0.47,1,1,0.03916666666666666,-1
014019,1983,day,0.86,0.86,1,1,0.07166666666666667,-1
014020,1983,day,1.98,0.99,2,1,0.0825,-1
014021,1983,day,1.98,0.99,2,1,0.0825,-1
014022,1983,day,0.99,0.99,1,1,0.0825,-1
014023,1983,day,0.93,0.93,1,1,0.0775,-1
014024,1983,day,0.98,0.98,1,1,0.08166666666666667,-1
014025,1983,day,1.3199999999999998,0.6599999999999999,2,1,0.05499999999999999,-1
014026,1983,day,1.02,0.51,2,1,0.0425,-1
014027,1983,day,0.24,0.12,2,1,0.01,-1
014028,1983,day,0.6200000000000001,0.31000000000000005,2,1,0.025833333333333337,-1
014029,1983,day,1.3599999999999999,0.6799999999999999,2,1,0.056666666666666664,-1
014030,1983,day,1.48,0.73,4,1,0.06083333333333333,-1
014031,1983,day,1.9,0.87,4,1,0.0725,-1
014032,1983,day,1.1,0.52,4,1,0.043333333333333335,-1
